ano,NO_REGIAO,internet,banda_larga,desktop,notebook,tablet
2020,Centro-Oeste,87.4,75.2,53,31.4,10.3
2020,Nordeste,51.2,42.1,26.2,18.9,6.2
2020,Norte,40.1,29.5,22.9,12.5,4.7
2020,Sudeste,75.4,64.2,44.5,22,9.5
2020,Sul,86.5,73,53.7,35.2,13
2021,Centro-Oeste,87.2,76.7,54.1,33.1,10.3
2021,Nordeste,57.6,47.2,28.7,21.4,6.8
2021,Norte,42.2,32.4,23.2,12.7,4.4
2021,Sudeste,75.9,65.1,43.7,25,10.2
2021,Sul,87.1,73.4,53.6,37.8,13.4
2022,Centro-Oeste,98.1,89.3,61.2,43.8,14.1
2022,Nordeste,83.8,82,39.8,32.1,11
2022,Norte,56,77.8,26.1,15.4,5.6
2022,Sudeste,96.1,92.8,52.9,38.9,16.3
2022,Sul,98.3,84,60.4,50.4,20.5
2023,Centro-Oeste,98.7,90.1,58.8,50.2,15.8
2023,Nordeste,88.9,82.7,41.6,37.1,13.3
2023,Norte,66.3,78.4,29.2,16.1,6.6
2023,Sudeste,97.1,93,52,43.4,22.1
2023,Sul,99,83.8,59.7,56.3,24.6
2024,Centro-Oeste,99.2,90.1,57.1,53.4,17.5
2024,Nordeste,91.3,83.3,42.5,41.2,15.4
2024,Norte,66.8,79.1,26.3,17.7,7.7
2024,Sudeste,97.9,93.3,50.7,46,25.4
2024,Sul,99,83.8,58.7,57,32.2
2025,Centro-Oeste,99.4,90.9,56.8,55.9,20.7
2025,Nordeste,94.7,85.3,45.7,44.6,18.8
2025,Norte,75.5,79.7,30.8,24.1,10.8
2025,Sudeste,98.5,93.5,53.2,47.2,30.4
2025,Sul,99.5,84.2,58.3,61.4,35.3
