SG_UF,internet,banda_larga,desktop,notebook,tablet
DF,100,96.9,59.9,45.2,24.6
MS,99.7,92.1,63.5,51.8,22.3
SC,99.7,93.1,52.6,53.6,41.6
GO,99.6,93.3,58.5,57.9,20.1
PR,99.6,78,66.5,60,44.7
CE,99.2,86.2,54.8,55.4,28.6
RJ,99.2,96.6,60.2,59.2,28.5
RS,99.2,84.1,54.4,68,22.1
SE,99.1,93.3,46.7,54.9,44.1
SP,98.8,92.5,47.8,42.9,35.7
MT,98.6,82.6,47.6,60.6,18.6
TO,98.1,91,41.4,44.8,7.7
RN,98,84.2,54,54.7,19.7
ES,97.6,89.9,49,55.4,27.8
MG,97.4,93.7,59.4,45.2,22.1
AL,97.3,92.5,44,45.5,12.9
PI,97.1,82.4,52.1,48.6,16.5
RO,96.7,81.6,64.3,39.8,40.6
PE,96.6,88.2,45.1,47.9,22.2
BA,95.2,84.4,45.8,43.5,20
PB,94.7,82.8,44.8,44.5,14
MA,86.1,82.8,35.8,29.7,7.2
PA,78.6,82,26.7,24.6,5.8
AP,69.7,73.3,36,21.6,7.7
RR,68.4,74.1,19.8,21.1,29.6
AM,66.7,74.2,31,16.9,13.1
AC,52.6,65.7,24.1,15.6,6.4
